Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-S1","PipelineStack/Pipeline/Pipeline/ArtifactsBucket/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","PipelineStack/Pipeline/Pipeline/ArtifactsBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","PipelineStack/Pipeline/Pipeline/ArtifactsBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","PipelineStack/Pipeline/Pipeline/ArtifactsBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","PipelineStack/Pipeline/Pipeline/ArtifactsBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-IAM4","PipelineStack/Pipeline/Pipeline/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Role/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","PipelineStack/Pipeline/Pipeline/Source/toddsfish_toomanycontainers/CodePipelineActionRole/DefaultPolicy/Resource","Suppressed","Suppress CDK pipelines warnings","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
