Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-S1","S3Stack/HostingBucket/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","S3Stack/HostingBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","S3Stack/HostingBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","S3Stack/HostingBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","S3Stack/HostingBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-CFR1","S3Stack/CloudfrontDist/Resource","Compliant","N/A","Warning","The CloudFront distribution may require Geo restrictions."
"AwsSolutions-CFR2","S3Stack/CloudfrontDist/Resource","Non-Compliant","N/A","Warning","The CloudFront distribution may require integration with AWS WAF."
"AwsSolutions-CFR3","S3Stack/CloudfrontDist/Resource","Compliant","N/A","Error","The CloudFront distribution does not have access logging enabled."
"AwsSolutions-CFR4","S3Stack/CloudfrontDist/Resource","Suppressed","Using default (.cloudfront.net) CFN cert","Error","The CloudFront distribution allows for SSLv3 or TLSv1 for HTTPS viewer connections."
"AwsSolutions-CFR5","S3Stack/CloudfrontDist/Resource","Compliant","N/A","Error","The CloudFront distributions uses SSLv3 or TLSv1 for communication to the origin."
"AwsSolutions-CFR6","S3Stack/CloudfrontDist/Resource","Compliant","N/A","Error","The CloudFront distribution does not use an origin access identity with an S3 origin."
